age,ph
0.00E+00,7.7338
2.00E+03,7.6538
4.00E+03,7.5738
6.00E+03,7.5292887
8.00E+03,7.5202662
1.00E+04,7.5112436
1.20E+04,7.5022211
1.40E+04,7.4931985
1.60E+04,7.4841759
1.80E+04,7.4751534
2.00E+04,7.4725218
2.20E+04,7.471018
2.40E+04,7.4695143
2.60E+04,7.4680105
2.80E+04,7.4665068
3.00E+04,7.465003
3.20E+04,7.4641008
3.40E+04,7.4656045
3.60E+04,7.4671083
3.80E+04,7.468612
4.00E+04,7.4701158
4.20E+04,7.4716195
4.40E+04,7.4731233
4.60E+04,7.4779353
4.80E+04,7.4854541
5.00E+04,7.4929729
5.20E+04,7.5004917
5.40E+04,7.5080105
5.60E+04,7.5155293
5.80E+04,7.5230481
6.00E+04,7.5292135
6.20E+04,7.5352286
6.40E+04,7.5412436
6.60E+04,7.5472586
6.80E+04,7.5532737
7.00E+04,7.5592887
7.20E+04,7.5649278
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,