age,d13c
0.00E+00,3.2311
2.00E+03,3.2111
4.00E+03,3.2011
6.00E+03,3.1711
8.00E+03,3.1511
1.00E+04,3.1111
1.20E+04,3.0811
1.40E+04,3.0411
1.60E+04,2.9911
1.80E+04,2.9411
2.00E+04,2.8911
2.20E+04,2.8311
2.40E+04,2.7711
2.60E+04,2.7111
2.80E+04,2.6411
3.00E+04,2.5811
3.20E+04,2.5011
3.40E+04,2.4211
3.60E+04,2.3411
3.80E+04,2.2511
4.00E+04,2.1611
4.20E+04,2.0711
4.40E+04,1.9811
4.60E+04,1.8911
4.80E+04,1.8111
5.00E+04,1.7211
5.20E+04,1.6411
5.40E+04,1.5611
5.60E+04,1.4711
5.80E+04,1.3911
6.00E+04,1.3011
6.20E+04,1.2211
6.40E+04,1.1511
6.60E+04,1.0811
6.80E+04,1.0111
7.00E+04,0.9311
7.20E+04,0.8411
7.40E+04,0.7311
7.60E+04,0.6011
7.80E+04,0.4711
8.00E+04,0.3311
8.20E+04,0.2111
8.40E+04,0.1011
8.60E+04,0.0111
8.80E+04,-0.0489
9.00E+04,-0.0789
9.20E+04,-0.0789
,